"territory","country","state_province","city","type","line","vendor","product","year","quarter","month","credit_limit","customer","quantity","sales"
"APAC","Australia","NSW","Chatswood","Shipped","Planes","Second Gear Diecast","American Airlines: MD-11S","2004","QTR4","Dec","93300","Souveniers And Things Co.","35","4277"
"APAC","Australia","NSW","Chatswood","Shipped","Planes","Second Gear Diecast","Corsair F4U ( Bird Cage)","2004","QTR4","Dec","93300","Souveniers And Things Co.","26","3711"
"APAC","Australia","NSW","Chatswood","Shipped","Planes","Unimax Art Galleries","1900s Vintage Tri-Plane","2004","QTR4","Dec","93300","Souveniers And Things Co.","25","1562"
"APAC","Australia","NSW","Chatswood","Shipped","Ships","Unimax Art Galleries","HMS Bounty","2004","QTR4","Dec","93300","Souveniers And Things Co.","24","1089"
"APAC","Australia","NSW","Chatswood","Shipped","Trucks and Buses","Motor City Art Classics","1940s Ford truck","2004","QTR3","Jul","93300","Souveniers And Things Co.","38","5383"
"APAC","Australia","NSW","Chatswood","Shipped","Trucks and Buses","Motor City Art Classics","1980s GM Manhattan Express","2004","QTR3","Jul","93300","Souveniers And Things Co.","32","2743"
"APAC","Australia","NSW","Chatswood","Shipped","Trucks and Buses","Red Start Diecast","1996 Peterbilt 379 Stake Bed with Outrigger","2004","QTR3","Jul","93300","Souveniers And Things Co.","21","1330"
"APAC","Australia","NSW","Chatswood","Shipped","Trucks and Buses","Studio M Art Models","1940 Ford Pickup Truck","2004","QTR3","Jul","93300","Souveniers And Things Co.","43","4164"
"APAC","Australia","NSW","Chatswood","Shipped","Trucks and Buses","Welly Diecast Productions","1958 Setra Bus","2004","QTR3","Jul","93300","Souveniers And Things Co.","28","4095"
"APAC","Australia","NSW","Chatswood","Shipped","Vintage Cars","Autoart Studio Design","1937 Horch 930V Limousine","2004","QTR4","Dec","93300","Souveniers And Things Co.","34","3872"
"APAC","Australia","NSW","Chatswood","Shipped","Vintage Cars","Carousel DieCast Legends","1913 Ford Model T Speedster","2003","QTR3","Jul","93300","Souveniers And Things Co.","46","5546"
"APAC","Australia","NSW","Chatswood","Shipped","Vintage Cars","Carousel DieCast Legends","1913 Ford Model T Speedster","2004","QTR3","Jul","93300","Souveniers And Things Co.","31","2983"
"APAC","Australia","NSW","Chatswood","Shipped","Vintage Cars","Exoto Designs","1917 Maxwell Touring Car","2003","QTR3","Jul","93300","Souveniers And Things Co.","30","3095"
"APAC","Australia","NSW","Chatswood","Shipped","Vintage Cars","Gearbox Collectibles","1928 Mercedes-Benz SSK","2003","QTR3","Jul","93300","Souveniers And Things Co.","41","7956"
"APAC","Australia","NSW","Chatswood","Shipped","Vintage Cars","Highway 66 Mini Classics","1928 Ford Phaeton Deluxe","2004","QTR4","Dec","93300","Souveniers And Things Co.","49","3544"
"APAC","Australia","NSW","Chatswood","Shipped","Vintage Cars","Min Lin Diecast","1934 Ford V8 Coupe","2003","QTR3","Jul","93300","Souveniers And Things Co.","20","1424"
"APAC","Australia","NSW","Chatswood","Shipped","Vintage Cars","Motor City Art Classics","1937 Lincoln Berline","2003","QTR3","Jul","93300","Souveniers And Things Co.","31","3185"
"APAC","Australia","NSW","Chatswood","Shipped","Vintage Cars","Red Start Diecast","18th Century Vintage Horse Carriage","2003","QTR3","Jul","93300","Souveniers And Things Co.","20","1801"
"APAC","Australia","NSW","Chatswood","Shipped","Vintage Cars","Red Start Diecast","18th Century Vintage Horse Carriage","2004","QTR3","Jul","93300","Souveniers And Things Co.","38","4775"
"APAC","Australia","NSW","Chatswood","Shipped","Vintage Cars","Second Gear Diecast","1936 Chrysler Airflow","2003","QTR3","Jul","93300","Souveniers And Things Co.","29","3276"
"APAC","Australia","NSW","Chatswood","Shipped","Vintage Cars","Studio M Art Models","1930 Buick Marquette Phaeton","2004","QTR4","Dec","93300","Souveniers And Things Co.","33","2725"
"APAC","Australia","NSW","Chatswood","Shipped","Vintage Cars","Studio M Art Models","1936 Mercedes-Benz 500K Special Roadster","2003","QTR3","Jul","93300","Souveniers And Things Co.","49","2113"
"APAC","Australia","NSW","Chatswood","Shipped","Vintage Cars","Studio M Art Models","1939 Cadillac Limousine","2004","QTR3","Jul","93300","Souveniers And Things Co.","44","2568"
"APAC","Australia","NSW","North Sydney","Shipped","Classic Cars","Autoart Studio Design","1968 Ford Mustang","2003","QTR4","Nov","107800","Anna's Decorations, Ltd","30","5020"
"APAC","Australia","NSW","North Sydney","Shipped","Classic Cars","Carousel DieCast Legends","1966 Shelby Cobra 427 S/C","2003","QTR3","Sep","107800","Anna's Decorations, Ltd","47","2672"
"APAC","Australia","NSW","North Sydney","Shipped","Classic Cars","Classic Metal Creations","1949 Jaguar XK 120","2003","QTR3","Sep","107800","Anna's Decorations, Ltd","21","1546"
"APAC","Australia","NSW","North Sydney","Shipped","Classic Cars","Classic Metal Creations","1952 Alpine Renault 1300","2005","QTR1","Mar","107800","Anna's Decorations, Ltd","24","2417"
"APAC","Australia","NSW","North Sydney","Shipped","Classic Cars","Classic Metal Creations","1957 Corvette Convertible","2003","QTR4","Nov","107800","Anna's Decorations, Ltd","33","4910"
"APAC","Australia","NSW","North Sydney","Shipped","Classic Cars","Classic Metal Creations","1961 Chevrolet Impala","2003","QTR4","Nov","107800","Anna's Decorations, Ltd","24","2270"
"APAC","Australia","NSW","North Sydney","Shipped","Classic Cars","Classic Metal Creations","1965 Aston Martin DB5","2003","QTR3","Sep","107800","Anna's Decorations, Ltd","47","5849"
"APAC","Australia","NSW","North Sydney","Shipped","Classic Cars","Exoto Designs","1952 Citroen-15CV","2003","QTR3","Sep","107800","Anna's Decorations, Ltd","34","4392"
"APAC","Australia","NSW","North Sydney","Shipped","Classic Cars","Exoto Designs","1969 Chevrolet Camaro Z28","2003","QTR3","Sep","107800","Anna's Decorations, Ltd","31","2282"
"APAC","Australia","NSW","North Sydney","Shipped","Classic Cars","Gearbox Collectibles","1948 Porsche Type 356 Roadster","2003","QTR3","Sep","107800","Anna's Decorations, Ltd","28","3639"
"APAC","Australia","NSW","North Sydney","Shipped","Classic Cars","Gearbox Collectibles","1976 Ford Gran Torino","2003","QTR4","Nov","107800","Anna's Decorations, Ltd","36","4445"
"APAC","Australia","NSW","North Sydney","Shipped","Classic Cars","Gearbox Collectibles","2002 Chevy Corvette","2003","QTR3","Sep","107800","Anna's Decorations, Ltd","27","3470"
"APAC","Australia","NSW","North Sydney","Shipped","Classic Cars","Highway 66 Mini Classics","1993 Mazda RX-7","2003","QTR3","Sep","107800","Anna's Decorations, Ltd","23","2702"
"APAC","Australia","NSW","North Sydney","Shipped","Classic Cars","Min Lin Diecast","1969 Dodge Super Bee","2003","QTR4","Nov","107800","Anna's Decorations, Ltd","32","2264"
"APAC","Australia","NSW","North Sydney","Shipped","Classic Cars","Min Lin Diecast","1995 Honda Civic","2003","QTR3","Sep","107800","Anna's Decorations, Ltd","25","4232"
"APAC","Australia","NSW","North Sydney","Shipped","Classic Cars","Red Start Diecast","1999 Indy 500 Monte Carlo SS","2003","QTR3","Sep","107800","Anna's Decorations, Ltd","27","3528"
"APAC","Australia","NSW","North Sydney","Shipped","Classic Cars","Second Gear Diecast","1962 LanciaA Delta 16V","2005","QTR1","Jan","107800","Anna's Decorations, Ltd","35","2297"
"APAC","Australia","NSW","North Sydney","Shipped","Classic Cars","Second Gear Diecast","1962 LanciaA Delta 16V","2005","QTR1","Mar","107800","Anna's Decorations, Ltd","37","1735"
"APAC","Australia","NSW","North Sydney","Shipped","Classic Cars","Studio M Art Models","1957 Ford Thunderbird","2003","QTR3","Sep","107800","Anna's Decorations, Ltd","29","2356"
"APAC","Australia","NSW","North Sydney","Shipped","Classic Cars","Studio M Art Models","1970 Plymouth Hemi Cuda","2003","QTR4","Nov","107800","Anna's Decorations, Ltd","36","2298"
"APAC","Australia","NSW","North Sydney","Shipped","Classic Cars","Unimax Art Galleries","1970 Chevy Chevelle SS 454","2003","QTR3","Sep","107800","Anna's Decorations, Ltd","25","1507"
"APAC","Australia","NSW","North Sydney","Shipped","Classic Cars","Unimax Art Galleries","1992 Ferrari 360 Spider red","2003","QTR3","Sep","107800","Anna's Decorations, Ltd","32","5419"
"APAC","Australia","NSW","North Sydney","Shipped","Classic Cars","Unimax Art Galleries","1992 Ferrari 360 Spider red","2005","QTR1","Jan","107800","Anna's Decorations, Ltd","27","1535"
"APAC","Australia","NSW","North Sydney","Shipped","Classic Cars","Welly Diecast Productions","1971 Alpine Renault 1600s","2003","QTR4","Nov","107800","Anna's Decorations, Ltd","34","1707"
"APAC","Australia","NSW","North Sydney","Shipped","Motorcycles","Autoart Studio Design","2002 Yamaha YZR M1","2003","QTR4","Nov","107800","Anna's Decorations, Ltd","48","3866"
"APAC","Australia","NSW","North Sydney","Shipped","Motorcycles","Gearbox Collectibles","1982 Ducati 996 R","2003","QTR4","Nov","107800","Anna's Decorations, Ltd","26","1036"
"APAC","Australia","NSW","North Sydney","Shipped","Motorcycles","Highway 66 Mini Classics","1982 Ducati 900 Monster","2003","QTR4","Nov","107800","Anna's Decorations, Ltd","38","2816"
"APAC","Australia","NSW","North Sydney","Shipped","Motorcycles","Second Gear Diecast","1974 Ducati 350 Mk3 Desmo","2003","QTR4","Nov","107800","Anna's Decorations, Ltd","34","3921"
"APAC","Australia","NSW","North Sydney","Shipped","Motorcycles","Studio M Art Models","1957 Vespa GS150","2003","QTR4","Nov","107800","Anna's Decorations, Ltd","38","2599"
"APAC","Australia","NSW","North Sydney","Shipped","Motorcycles","Unimax Art Galleries","2002 Suzuki XREO","2003","QTR4","Nov","107800","Anna's Decorations, Ltd","35","4639"
"APAC","Australia","NSW","North Sydney","Shipped","Trucks and Buses","Carousel DieCast Legends","1926 Ford Fire Engine","2005","QTR1","Jan","107800","Anna's Decorations, Ltd","22","2131"
"APAC","Australia","NSW","North Sydney","Shipped","Trucks and Buses","Carousel DieCast Legends","1926 Ford Fire Engine","2005","QTR1","Mar","107800","Anna's Decorations, Ltd","44","1694"
"APAC","Australia","NSW","North Sydney","Shipped","Trucks and Buses","Motor City Art Classics","1940s Ford truck","2005","QTR1","Jan","107800","Anna's Decorations, Ltd","29","1668"
"APAC","Australia","NSW","North Sydney","Shipped","Trucks and Buses","Red Start Diecast","1996 Peterbilt 379 Stake Bed with Outrigger","2005","QTR1","Jan","107800","Anna's Decorations, Ltd","25","3160"
"APAC","Australia","NSW","North Sydney","Shipped","Trucks and Buses","Studio M Art Models","1940 Ford Pickup Truck","2005","QTR1","Jan","107800","Anna's Decorations, Ltd","27","3911"
"APAC","Australia","NSW","North Sydney","Shipped","Trucks and Buses","Studio M Art Models","1940 Ford Pickup Truck","2005","QTR1","Mar","107800","Anna's Decorations, Ltd","29","2468"
"APAC","Australia","NSW","North Sydney","Shipped","Trucks and Buses","Unimax Art Galleries","1964 Mercedec Tour Bus","2005","QTR1","Jan","107800","Anna's Decorations, Ltd","22","3949"
"APAC","Australia","NSW","North Sydney","Shipped","Trucks and Buses","Welly Diecast Productions","1958 Setra Bus","2005","QTR1","Jan","107800","Anna's Decorations, Ltd","49","8470"
"APAC","Australia","NSW","North Sydney","Shipped","Trucks and Buses","Welly Diecast Productions","1958 Setra Bus","2005","QTR1","Mar","107800","Anna's Decorations, Ltd","39","2465"
"APAC","Australia","NSW","North Sydney","Shipped","Vintage Cars","Carousel DieCast Legends","1913 Ford Model T Speedster","2005","QTR1","Mar","107800","Anna's Decorations, Ltd","32","1448"
"APAC","Australia","NSW","North Sydney","Shipped","Vintage Cars","Classic Metal Creations","1938 Cadillac V-16 Presidential Limousine","2005","QTR1","Mar","107800","Anna's Decorations, Ltd","24","4042"
"APAC","Australia","NSW","North Sydney","Shipped","Vintage Cars","Exoto Designs","1932 Alfa Romeo 8C2300 Spider Sport","2003","QTR3","Sep","107800","Anna's Decorations, Ltd","34","3598"
"APAC","Australia","NSW","North Sydney","Shipped","Vintage Cars","Motor City Art Classics","1937 Lincoln Berline","2005","QTR1","Mar","107800","Anna's Decorations, Ltd","35","5549"
"APAC","Australia","NSW","North Sydney","Shipped","Vintage Cars","Motor City Art Classics","1939 Chevrolet Deluxe Coupe","2005","QTR1","Mar","107800","Anna's Decorations, Ltd","33","8345"
"APAC","Australia","NSW","North Sydney","Shipped","Vintage Cars","Studio M Art Models","1936 Mercedes-Benz 500K Special Roadster","2005","QTR1","Mar","107800","Anna's Decorations, Ltd","42","4998"
"APAC","Australia","NSW","North Sydney","Shipped","Vintage Cars","Studio M Art Models","1939 Cadillac Limousine","2005","QTR1","Jan","107800","Anna's Decorations, Ltd","20","2730"
"APAC","Australia","Queensland","South Brisbane","Shipped","Classic Cars","Classic Metal Creations","1952 Alpine Renault 1300","2003","QTR4","Nov","51600","Australian Gift Network, Co","34","8015"
"APAC","Australia","Queensland","South Brisbane","Shipped","Classic Cars","Exoto Designs","1992 Porsche Cayenne Turbo Silver","2003","QTR3","Sep","51600","Australian Gift Network, Co","23","2802"
"APAC","Australia","Queensland","South Brisbane","Shipped","Classic Cars","Highway 66 Mini Classics","1970 Dodge Coronet","2003","QTR3","Sep","51600","Australian Gift Network, Co","25","1633"
"APAC","Australia","Queensland","South Brisbane","Shipped","Classic Cars","Min Lin Diecast","1970 Triumph Spitfire","2003","QTR3","Sep","51600","Australian Gift Network, Co","35","4524"
"APAC","Australia","Queensland","South Brisbane","Shipped","Motorcycles","Autoart Studio Design","1997 BMW R 1100 S","2005","QTR1","Feb","51600","Australian Gift Network, Co","38","4197"
"APAC","Australia","Queensland","South Brisbane","Shipped","Motorcycles","Highway 66 Mini Classics","1996 Moto Guzzi 1100i","2005","QTR1","Feb","51600","Australian Gift Network, Co","39","5288"
"APAC","Australia","Queensland","South Brisbane","Shipped","Motorcycles","Red Start Diecast","2003 Harley-Davidson Eagle Drag Bike","2005","QTR1","Feb","51600","Australian Gift Network, Co","22","3834"
"APAC","Australia","Queensland","South Brisbane","Shipped","Motorcycles","Welly Diecast Productions","1936 Harley Davidson El Knucklehead","2005","QTR1","Feb","51600","Australian Gift Network, Co","22","1173"
"APAC","Australia","Queensland","South Brisbane","Shipped","Planes","Classic Metal Creations","1928 British Royal Navy Airplane","2005","QTR1","Feb","51600","Australian Gift Network, Co","46","4329"
"APAC","Australia","Queensland","South Brisbane","Shipped","Planes","Gearbox Collectibles","P-51-D Mustang","2005","QTR1","Feb","51600","Australian Gift Network, Co","42","2909"
"APAC","Australia","Queensland","South Brisbane","Shipped","Trains","Gearbox Collectibles","1950's Chicago Surface Lines Streetcar","2003","QTR3","Sep","51600","Australian Gift Network, Co","33","1681"
"APAC","Australia","Queensland","South Brisbane","Shipped","Trucks and Buses","Studio M Art Models","1940 Ford Pickup Truck","2003","QTR4","Nov","51600","Australian Gift Network, Co","48","4480"
"APAC","Australia","Queensland","South Brisbane","Shipped","Trucks and Buses","Welly Diecast Productions","1958 Setra Bus","2003","QTR4","Nov","51600","Australian Gift Network, Co","43","6817"
"APAC","Australia","Queensland","South Brisbane","Shipped","Vintage Cars","Carousel DieCast Legends","1913 Ford Model T Speedster","2003","QTR4","Nov","51600","Australian Gift Network, Co","46","5592"
"APAC","Australia","Queensland","South Brisbane","Shipped","Vintage Cars","Studio M Art Models","1939 Cadillac Limousine","2003","QTR4","Nov","51600","Australian Gift Network, Co","49","2194"
"APAC","Australia","Victoria","Glen Waverly","Disputed","Planes","Autoart Studio Design","1900s Vintage Bi-Plane","2005","QTR2","May","60300","Australian Collectables, Ltd","21","1424"
"APAC","Australia","Victoria","Glen Waverly","Disputed","Planes","Motor City Art Classics","Boeing X-32A JSF","2005","QTR2","May","60300","Australian Collectables, Ltd","42","2420"
"APAC","Australia","Victoria","Glen Waverly","Disputed","Ships","Unimax Art Galleries","HMS Bounty","2005","QTR2","May","60300","Australian Collectables, Ltd","32","3070"
"APAC","Australia","Victoria","Glen Waverly","Disputed","Vintage Cars","Autoart Studio Design","1937 Horch 930V Limousine","2005","QTR2","May","60300","Australian Collectables, Ltd","18","1255"
"APAC","Australia","Victoria","Glen Waverly","Disputed","Vintage Cars","Exoto Designs","1941 Chevrolet Special Deluxe Cabriolet","2005","QTR2","May","60300","Australian Collectables, Ltd","51","6209"
"APAC","Australia","Victoria","Glen Waverly","Shipped","Classic Cars","Gearbox Collectibles","1976 Ford Gran Torino","2004","QTR3","Jul","60300","Australian Collectables, Ltd","49","8427"
"APAC","Australia","Victoria","Glen Waverly","Shipped","Classic Cars","Min Lin Diecast","1969 Dodge Super Bee","2004","QTR3","Jul","60300","Australian Collectables, Ltd","45","3908"
"APAC","Australia","Victoria","Glen Waverly","Shipped","Classic Cars","Studio M Art Models","1957 Ford Thunderbird","2003","QTR4","Nov","60300","Australian Collectables, Ltd","25","1907"
"APAC","Australia","Victoria","Glen Waverly","Shipped","Vintage Cars","Autoart Studio Design","1932 Model A Ford J-Coupe","2003","QTR4","Nov","60300","Australian Collectables, Ltd","44","4643"
"APAC","Australia","Victoria","Glen Waverly","Shipped","Vintage Cars","Carousel DieCast Legends","1913 Ford Model T Speedster","2003","QTR4","Nov","60300","Australian Collectables, Ltd","28","2610"
"APAC","Australia","Victoria","Glen Waverly","Shipped","Vintage Cars","Classic Metal Creations","1938 Cadillac V-16 Presidential Limousine","2003","QTR4","Nov","60300","Australian Collectables, Ltd","20","1012"
"APAC","Australia","Victoria","Glen Waverly","Shipped","Vintage Cars","Exoto Designs","1917 Maxwell Touring Car","2003","QTR4","Nov","60300","Australian Collectables, Ltd","32","2540"
"APAC","Australia","Victoria","Glen Waverly","Shipped","Vintage Cars","Exoto Designs","1932 Alfa Romeo 8C2300 Spider Sport","2003","QTR4","Nov","60300","Australian Collectables, Ltd","24","2341"
"APAC","Australia","Victoria","Glen Waverly","Shipped","Vintage Cars","Gearbox Collectibles","1928 Mercedes-Benz SSK","2003","QTR4","Nov","60300","Australian Collectables, Ltd","22","3675"
"APAC","Australia","Victoria","Glen Waverly","Shipped","Vintage Cars","Min Lin Diecast","1934 Ford V8 Coupe","2003","QTR4","Nov","60300","Australian Collectables, Ltd","24","1244"
"APAC","Australia","Victoria","Glen Waverly","Shipped","Vintage Cars","Motor City Art Classics","1911 Ford Town Car","2003","QTR4","Nov","60300","Australian Collectables, Ltd","42","2492"
"APAC","Australia","Victoria","Glen Waverly","Shipped","Vintage Cars","Motor City Art Classics","1937 Lincoln Berline","2003","QTR4","Nov","60300","Australian Collectables, Ltd","28","3107"
"APAC","Australia","Victoria","Glen Waverly","Shipped","Vintage Cars","Motor City Art Classics","1939 Chevrolet Deluxe Coupe","2003","QTR4","Nov","60300","Australian Collectables, Ltd","26","759"
"APAC","Australia","Victoria","Glen Waverly","Shipped","Vintage Cars","Red Start Diecast","18th Century Vintage Horse Carriage","2003","QTR4","Nov","60300","Australian Collectables, Ltd","23","2770"
"APAC","Australia","Victoria","Glen Waverly","Shipped","Vintage Cars","Red Start Diecast","1936 Mercedes Benz 500k Roadster","2003","QTR4","Nov","60300","Australian Collectables, Ltd","22","903"
"APAC","Australia","Victoria","Glen Waverly","Shipped","Vintage Cars","Second Gear Diecast","1936 Chrysler Airflow","2003","QTR4","Nov","60300","Australian Collectables, Ltd","20","2279"
"APAC","Australia","Victoria","Glen Waverly","Shipped","Vintage Cars","Studio M Art Models","1936 Mercedes-Benz 500K Special Roadster","2003","QTR4","Nov","60300","Australian Collectables, Ltd","46","2455"
"APAC","Australia","Victoria","Glen Waverly","Shipped","Vintage Cars","Welly Diecast Productions","1917 Grand Touring Sedan","2003","QTR4","Nov","60300","Australian Collectables, Ltd","21","3142"
"APAC","Australia","Victoria","Melbourne","Shipped","Classic Cars","Classic Metal Creations","1952 Alpine Renault 1300","2004","QTR4","Nov","117300","Australian Collectors, Co.","30","3945"
"APAC","Australia","Victoria","Melbourne","Shipped","Classic Cars","Classic Metal Creations","1956 Porsche 356A Coupe","2004","QTR4","Nov","117300","Australian Collectors, Co.","42","5014"
"APAC","Australia","Victoria","Melbourne","Shipped","Classic Cars","Classic Metal Creations","1957 Corvette Convertible","2004","QTR4","Nov","117300","Australian Collectors, Co.","38","6276"
"APAC","Australia","Victoria","Melbourne","Shipped","Classic Cars","Gearbox Collectibles","1948 Porsche 356-A Roadster","2004","QTR4","Nov","117300","Australian Collectors, Co.","55","3600"
"APAC","Australia","Victoria","Melbourne","Shipped","Classic Cars","Gearbox Collectibles","1976 Ford Gran Torino","2004","QTR4","Nov","117300","Australian Collectors, Co.","55","6548"
"APAC","Australia","Victoria","Melbourne","Shipped","Classic Cars","Highway 66 Mini Classics","1993 Mazda RX-7","2004","QTR4","Nov","117300","Australian Collectors, Co.","40","6454"
"APAC","Australia","Victoria","Melbourne","Shipped","Classic Cars","Min Lin Diecast","1969 Dodge Super Bee","2004","QTR4","Nov","117300","Australian Collectors, Co.","25","1669"
"APAC","Australia","Victoria","Melbourne","Shipped","Classic Cars","Min Lin Diecast","1995 Honda Civic","2004","QTR4","Nov","117300","Australian Collectors, Co.","22","3161"
"APAC","Australia","Victoria","Melbourne","Shipped","Classic Cars","Second Gear Diecast","1962 LanciaA Delta 16V","2004","QTR4","Nov","117300","Australian Collectors, Co.","27","4428"
"APAC","Australia","Victoria","Melbourne","Shipped","Classic Cars","Second Gear Diecast","1982 Lamborghini Diablo","2004","QTR4","Nov","117300","Australian Collectors, Co.","39","1576"
"APAC","Australia","Victoria","Melbourne","Shipped","Classic Cars","Unimax Art Galleries","1992 Ferrari 360 Spider red","2004","QTR4","Nov","117300","Australian Collectors, Co.","30","5030"
"APAC","Australia","Victoria","Melbourne","Shipped","Classic Cars","Welly Diecast Productions","1971 Alpine Renault 1600s","2004","QTR4","Nov","117300","Australian Collectors, Co.","48","2998"
"APAC","Australia","Victoria","Melbourne","Shipped","Motorcycles","Autoart Studio Design","1997 BMW R 1100 S","2003","QTR2","Apr","117300","Australian Collectors, Co.","35","3432"
"APAC","Australia","Victoria","Melbourne","Shipped","Motorcycles","Autoart Studio Design","1997 BMW R 1100 S","2004","QTR1","Feb","117300","Australian Collectors, Co.","32","2921"
"APAC","Australia","Victoria","Melbourne","Shipped","Motorcycles","Exoto Designs","1997 BMW F650 ST","2003","QTR2","Apr","117300","Australian Collectors, Co.","22","2461"
"APAC","Australia","Victoria","Melbourne","Shipped","Motorcycles","Exoto Designs","1997 BMW F650 ST","2004","QTR1","Feb","117300","Australian Collectors, Co.","21","2475"
"APAC","Australia","Victoria","Melbourne","Shipped","Motorcycles","Highway 66 Mini Classics","1960 BSA Gold Star DBD34 1960","2003","QTR2","Apr","117300","Australian Collectors, Co.","34","2849"
"APAC","Australia","Victoria","Melbourne","Shipped","Motorcycles","Highway 66 Mini Classics","1960 BSA Gold Star DBD34 1960","2004","QTR1","Feb","117300","Australian Collectors, Co.","38","2634"
"APAC","Australia","Victoria","Melbourne","Shipped","Motorcycles","Highway 66 Mini Classics","1996 Moto Guzzi 1100i","2003","QTR2","Apr","117300","Australian Collectors, Co.","29","2794"
"APAC","Australia","Victoria","Melbourne","Shipped","Motorcycles","Highway 66 Mini Classics","1996 Moto Guzzi 1100i","2004","QTR1","Feb","117300","Australian Collectors, Co.","47","5422"
"APAC","Australia","Victoria","Melbourne","Shipped","Motorcycles","Min Lin Diecast","1969 Harley Davidson Ultimate Chopper","2004","QTR1","Feb","117300","Australian Collectors, Co.","37","3966"
"APAC","Australia","Victoria","Melbourne","Shipped","Motorcycles","Red Start Diecast","2003 Harley-Davidson Eagle Drag Bike","2003","QTR2","Apr","117300","Australian Collectors, Co.","46","9265"
"APAC","Australia","Victoria","Melbourne","Shipped","Motorcycles","Red Start Diecast","2003 Harley-Davidson Eagle Drag Bike","2004","QTR1","Feb","117300","Australian Collectors, Co.","49","9774"
